Name,Institutions,Mechanism,Culture/Values/Norms,Meta-Mechanisms,Notes,Time span,Geography,Size,Source,Metanotes,Heterogeneity ,FC comments,LIZA's comments,FABIO's comments,Jonas' comments
Mississippian Chiefdoms (DO NOT PURSUE FURTHER),,King/Absolute Monarch (unbound),Ritual,,"'a war council being called on one occasion, but there is no evidence of regular meetings' (p. 53)",1000-1600 CE,North America,,"Stasavage, David (2020), The Decline and Rise of Democracy
","DO NOT PURSUE Look into: Muller (1997), Mississippian Political Economy",,DNP,,,
Mixtec City-States,Council of four,"King/Absolute Monarch (unbound),Council (central)","Written rules, Strict hierarchy/caste system, Obedience to authority",,"“Spores characterises Mixtec City-States as: ‘small, socially stratified states, each controlled by a privileged ruling aristocracy and consisting of a territory normally traversable by foot in a day; one or more agricultural settlements with adjacent farm plots and resource areas; and a resident population differentiated into a ruling lineage, a nobility, a class of commoners, and, in some cases, a group of tenant farmers subject to the direct control of the ruler’, (Spores (1983c) 255)”",900 A.D. 1521 A.D.,South America/ Mexico,"100,001 - 1 million members","Michael D. Lind, Mixtec City-States and Mixtec City-State Culture, in Hansen, A Comparative Study of Thirty City-States Cultures",,,needs more work,,,Some city-states might had been covered already
Mohave,"Informal Council, Kwaxot - Main Tribal Leader, Conference for Warefare, Head Kwanamis - War Chiefs, Scalper (ahwe somadj/axwe satumac) - Shaman, Braves (Kwanamis), Chief for dealing with White People, Yakatha'alya women","Military force,Council (central),Leader (first among equals),Gerontocracy,Consensus,Criticism/Mocking/Joking,Consultation,(TO APPROVE) Conference,Theocracy,(TO APPROVE) Dreaming","Loyalty/Patriotism, Shared identity/Kinship, Supernatural, Nationalism, Culture of War, Ritual",,"Mohave thought of themselves as a national entity, a conception quite different from the village solidarity which characterized most of California. (Fathauer, p. 97) Mohave are frequently described as warlike, however, Stewart (p. 257) states that people as a whole were pacifically inclined. It was the existence of a distinct class of warriors (Kwanamis) with whom warfare was an obsession among the Mohave that resulted in the frequent warring expeditions. This warring class, just like any other official in Mohave, obtained their status and powers from the spirits in their dreams (Stewart, p. 257). Within a tribe, there were two or three Head Kwanamis who recruited and led the war parties that consisted of the Braves, Kwanamis, and common people (Stewart, p. 260, p. 266; Fathauer, p. 99). People were defined as common if they had not dreamed special powers (Fathauer, p. 99). Another official that accompanied the war party was the Scalper that acted as a Shaman and doctored the warriors (Stewart, p. 269). Scalper was the only one who had dreamed of powers that allowed him to scalp the enemy without being affected by his scalp's magical potency (Stewart, p. 269). 

At home, it was Kwaxot, the main tribal leader, who cared for these war trophies (Fathauer, p. 110). His main responsibility was to ensure tribal integration, which was achieved through his religious position (Fathauer, p. 109). Similarly, this position was obtained from the spirits in a powerful dream (Fathauer, p. 110). 

Decisions regards the tribal internal affairs were conducted through the Informal Council that consisted of Kwaxot and the male heads of each settlement (Fathauer, p. 109). Decisions regards war expeditions, which was a primal aspect of Mohave's external affairs, were conducted through the Conference for Warfare (Fathauer p. 98). There, Mohave's officials such as Kwaxot, Scalper, Head Kwanamis, Braves (Kwanamis) and spies solicited the opinions of some of the wise old men of the tribe (Fathauer p. 98). 

Women played a minor role as their dream was also considered weaker than those of other officials (Fathauer p. 109). Yakatha'alya women would partake in Scalper's ceremony and encourage men to join war parties through shaming (Fathauer p. 109). 

In addition, when Mohave were forced to interact with the Whites, a new official role came to be - Chief for dealing with White People (Fathauer p. 110). Even though, as discussed above, Mohave believed that it was up to spirits to choose the officials by appearing in the special dreams, this was not the case with the Chief for dealing with the Whites (Fathauer p. 109). The first Chief was selected because he was ""lucky"" in his dealings with the Whites, and this position carried on being hereditary (Fathauer p. 109).

In Jorgensen (1980) Mohave are coded alongside such tribes as Maricopa, Cocopa and Yuma as '20' for Politics. The other three have not, however, been researched by Liza. See Google Sheet on North American Tribes.",18th-19th century (at least),North America,"1,001 - 10,000","'- George H. Fathauer, 'The Structure and Causation of Mohave Warfare',  Southwestern Journal of Anthropology , Spring, 1954, Vol. 10, No. 1 (Spring,
1954), pp. 97-118
- Jorgensen, Joseph, Western Indians: Comparative Environments, Languages, and Cultures of 172 Western American Indian Tribes (1980)","One could follow up on Maricopa, Cocopa and Yuma Tribes for potential similar cases. See notes and Google Sheet on Tribes for more.",,edited,,,
Mongol Nomads,"kurultay, Khan, Tribal Chief, Tribal Council, Nokor, Shaman, ""Shamanic """"Guild""""""","Autocratic Leader/Chief (bound),Elite Assembly,Heredity,Meritocracy,Election,Assembly (central),Council (local),Theocracy,Reputational risk,Blood relations,Balance of power,Military force,(TO APPROVE) Popularity","Reputation/Honour, Shared identity/Kinship, Competition, Generosity, Strict hierarchy/caste system, Supernatural",,,10-13th century,Central Asia,+10 million members,"'- Stasavage, David (2020), The Decline and Rise of Democracy, 158-9

- Fletcher, Joseph, ""The Mongols: Ecological and Social Perspectives"", Harvard Journal of Asiatic Studies, 46, 1 (1986).

Other works cited by Stasavage:
- Rossabi, Morris. 2005. Khubilai Khan: His Life and Times. London: Folio Society.
- Brook, Timothy. 2010. The Troubled Empire: China in the Yuan and Ming Dynasties. 
","HETEROGENEITY
- There was social heterogeneity since ""Leading men"" such as tribal chieftains ""were usually regarded as nobles (Fletcher, p. 16)."" Also shamans, with their supernatural abilities, formed an intellectual social class. 
- Ethnic kinship groups were seen in terms of different clans, each of which had their own tribal chief. 
Heterogenous without political cleavages
- the Shamanic guild and Tribal council were institutions that created a balance of power between different social and ethnic groups respectively. Each chieftain was a member of the council and each shaman was associated with a guild. 
- Furthermore, shamans could also become chieftains, indicating that there were few social barriers to attaining political power - and hence there were no political cleavages based on social groups. ","Ethnic/kinship groups,Social groups,Formal inclusion,Heterogenous without political cleavages",edited,,,
Mosuo,Dabu,"Matrilineality,Matriarchy,Leader (first among equals),Arbitration,Council (central)","Gender equality, Egalitarianism, (TO APPROVE) Respect",,"o	‘Most of their extended families and clans are still classically matriarchal: they are fully matrilineal, being organised in the mother’s line and inheriting through the mother’s line’ (108)
o	‘The most capable woman is elected to be head, or matriarch, of the clan; her title is “Dabu.” She organises the agricultural work and distributes the food; she manages the clan’s communal property, which is handedover to her, both material and liquid, and sees to the expenses; she takes care of the guests and is the house priestess at all family ceremonies. She has, however, no special privileges that would contravene the principle of equality on which these societies are based, since she works just as hard as other family members do, and they all discuss the important events together. She can make no unilateral decisions about the community’s wealth. She not only arbitrate in clan conflicts, but also, until recently, the matriarchs of the different clans held important positions in the village councils as well.’ (108)
",Contemporary,South-western China,"10,001 - 100,000","Heide Goettner-Abendroth, Matriarchal Societies (2012)",,,needs more work,,,
Nambikuara,Uilikande,"Leader (first among equals),Voting,Meritocracy,Consensus,Punishment,Seizing of property,Suspension/Expulsion/Ostracism,Reputational risk,Blood relations,Consent,Power fluidity","Egalitarianism, Ritual, Reciprocity, Greediness, Generosity, Reputation/Honour",,"o	INSTITUTIONS
	Uilikande - Chief (band chiefs [dry seasons] and village chiefs [rainy season])
	Chieftainship

o	CULTURE
	Generosity
	Egalitarianism
	Ritual
	Reciprocity

o	During the dry season, they live in nomadic bands
	Bands of average 200-300 people. Numbers fell afterwards
	Whole number likely 1,000-10,000
o	Simple kinship system with cross-cousin marriage
o	Chieftman ship is not hereditary. Instead, he designates a successor when evaluating that he cannot rule no more
	However, not so autocratic. The choice needs the approval of the band
	Many actually refuse to be chiefs
o	‘Consent is at the origin of leadership, and consent, too, furnishes the only measure of its legitimacy.’ (23)
	If the subjects refuse to obey, the chief can’t do much
o	The chief must do better than those of other bands
o	The chief must unite the flowing opinions of the whole group rather than to play an autocratic role
o	The structure of the band constantly changes as people become discontent or join the group
o	Polygamy of the chief
o	Importance of the chief’s generosity, which is met with collective greediness that squeezes everything from the chief
	When a chief decides to reject generosity, his power must be strong, for he faces a crisis

o	[POTENTIALLY FIND MORE CONTEMPORARY EVIDENCE]",Mid-20th century,Brazil,"1,001 - 10,000","Lévi-Strauss, (1967), The Social and Political Aspect of Chieftainship in a Primitive Tribe

Graeber, David and David Wengrow (2021), The Dawn of Everything",,,needs more work,,,
Natchez people,"Great Sun, War Council, Governor of districts","King/Absolute Monarch (unbound),Punishment,Self-help,Capital punishment,Corporal punishment/Violence against perpetrator,Magistrate/officials,Civil disobedience,Matrilineality,Heredity,Blood relations,Deliberation,Council (central)","Ritual, Reputation/Honour",,"o	Kingship

o	Minimal bureaucracy

o	No competitive political field

o	Matrilineal

o	Away from the Great Village, people lived semi-independently, conducted their own ventures and sometimes even refused to obey the Great Chief (‘Great Sun’)

o	The Great Sun had to transcend the law for he was divine and had to come prior to it to create justice. Thus, the Great Sun often exercised arbitrary power for example with arbitrary execution and people obeyed him.
	Exact measures unknown
	However, this power was inherently personal. Outside his limited administration, it quickly diminished
•	Self-help and civil disobedience mechanisms likely exercised by people outside the Great Sun’s control

o	Elites

o	War councils
	Would often ignore the advice of the Great Sun

o	Ritual related to the power of the Great Sun

o	INSTITUTIONS
	Great Sun
	Governors of districts
	War Councils",Studied in the 18th ce.,Louisiana,"1,001 - 10,000","Graeber, David and David Wengrow (2021), The Dawn of Everything

Graeber, David and Marshall Sahlins (2017), On Kings",,,needs more work,,,
Nayar people,"Noble women, King, Local chief, Feudal lord","Matriarchy,King/Absolute Monarch (unbound),Autocratic Leader/Chief (bound)",Egalitarianism,,"SELF-GOVERNANCE
‘The ordinary Nayar clan had no chief; the eldest man exercised no authority over the lineage. The clan mother and the mother’s brother, or karanavan, stood together as equals and shared the daily running of clan affairs. For landlord clans, and certainly for royal clans, this was otherwise: the higher the rank and the greater the power the clan held, the more hierarchical they were, which worked to the advantage of the eldest man’ (341-42)

o	‘In traditional Nayar life, women were in charge of the clan houses and of the villas of the estates, and each clan mother was the mistress of her clan house.’ (341)
",Pre-modern,India,Unknown,"Heide Goettner-Abendroth, Matriarchal Societies (2012)","HETEROGENEITY
Formal inclusion of both men and women : ""The clan mother and the mother’s brother, or karanavan"" were both figureheads and ran the clan's affairs
Informal power imbalance : even though the institutions themselves were egalitarian, ""For landlord clans, and certainly for royal clans, this was otherwise: the higher the rank and the greater the power the clan held, the more hierarchical they were, which worked to the advantage of the eldest man’ (341-42)""","Gender groups,Formal inclusion,Informal power imbalance ",edited,,,
Nebelivka,Assembly Houses,"Assembly (local),Public meetings","Equality in opportunity, Egalitarianism, Free Speech, Innovation, Cooperation, Diversity",,"Graeber and Wengrow on Nebelivka type of mega-site:

-	In the absence of written records (or a time machine), there are serious limits to what we can say about kinship and inheritance, or how people in these cities went about making collective decisions. (Graeber and Wengrow, p. 294)
-	Still, some clues exist, beginning at the level of individual households. (Graeber and Wengrow, p. 294)
-	Each of these had a roughly common plan, but each was also, in its own way, unique.
-	From one dwelling to the next there is constant innovation, even playfulness, in the rules of commensality. (Graeber and Wengrow, p. 294)
-	Each family unit invented its own slight variations on domestic rituals, reflected in its unique assemblage of serving and eating vessels, painted with polychrome designs of often mesmerising intensity and made in a dazzling variety of forms. (Graeber and Wengrow, p. 294)

-	Individual households would sometimes opt to cluster together in groups of between three and ten families. (Graeber and Wengrow, p. 294)
-	Ditches or pits marked their boundaries. (Graeber and Wengrow, p. 294)
-	At some sites these groups coalesce into neighbourhoods, radiating out from the centre to the perimeter of the city, and even forming larger residential districts or quarters. (Graeber and Wengrow, p. 294)
-	Each had access to at least one assembly house, a structure larger than an ordinary dwelling where a wider sector of the population might gather periodically for activities we can only guess at. (Graeber and Wengrow, p. 295)
---------------------------------------------------------

Nebelivka is a mega-site from the Cucuteni-Tripolye culture. A number of other mega-sites have also been documented. Maidanetske seems to be a recreation of Nebelivka's spatial structure a century or two later (there are perimeter boundaries and Assembly Houses creating a 'House -> Neighbourhood -> Quarter -> City' structure). Dobrovody has a similar number of Assembly Houses as Maidanetske, but is missing perimeter boundaries common to the structures of Nebelivka and Maidanetske. Taljanky, the largest mega-site, does not seem to have either of these features. 


-	By 4500 BC, chernozem was widely distributed between the Carpathian and the Ural Mountains, where a mosaic landscape of open prairie and woodland emerged capable of supporting dense human habitation. (Graeber and Wengrow, p. 290)
-	The Neolithic people who settled there had travelled east from the lower reaches of the Danube, passing through the Carpathian Mountains. (Graeber and Wengrow, p. 291)
-	We do not know why, but we do know that – throughout their peregrinations in river valleys and mountain passes – they retained a cohesive social identity. (Graeber and Wengrow, p. 291)
-	Their villages, often small in scale, shared similar cultural practices, reflected in the forms taken by their dwellings, female figurines and ways of making and serving food. (Graeber and Wengrow, p. 291)
-	The archaeological name given to this particular ‘design for life’ is the Cucuteni-Tripolye culture, after the sites where it was first recorded. (Graeber and Wengrow, p. 291)

-	So the Ukrainian and Moldovan mega-sites did not come out of thin air. (Graeber and Wengrow, p. 291)
-	They were the physical realisation of an extended community that already existed long before its constituent units coalesced into large settlements. (Graeber and Wengrow, p. 291)
-	Some tens of these settlements have now been documented. (Graeber and Wengrow, p. 291)
-	The biggest currently known – Taljanky – extends over an area of 300 hectares, outspanning the earliest phases of the city of Uruk in southern Mesopotamia. (Graeber and Wengrow, p. 291)
-	It presents no evidence of central administration or communal storage facilities. (Graeber and Wengrow, p. 291)
-	Nor have any government buildings, fortifications or monumental architecture been found.
-	There is no acropolis or civic centre. (Graeber and Wengrow, p. 291)

- In the same two mega-sites with perimeter boundaries —Nebelivka and Maidanetske—a similar pattern of spatial division has been recognized based on four spatial levels—the house, the Neighbourhood, the Quarter, and the entire site (Chapman et al., 2014, 2014a; Ohlrau, 2014). (Chapman, p. 128)

- Turning to the later, Phase CI mega-sites, the basic Nebelivka spatial structure was re-created a century or two later at Maidanetske, with an estimated total of fifteen Assembly Houses and a maximum mean ratio of almost 200 houses per Quarter (Ohlrau, 2014). (Chapman, p. 129)
- A similar number of Assembly Houses is estimated for Dobrovody (Rassmann et al., 2014: 126). (Chapman, p. 129)
- It is even more intriguing, therefore, that only one possible Assembly House has been recognized at Taljanky— after all, the largest known mega-site in the Trypillia world. (Chapman, p. 129)
- The missing perimeter ditch and the absent Assembly Houses at Taljanky seem to us to be two sides of the same coin—an alternative social structure in which different ways of integrating a large population were used in contrast to those at Nebelivka and Maidanetske. (Chapman, p. 129)

- The presence of a perimeter boundary at two mega-sites—Nebelivka and Maidanetske—and their absence from the other two—Taljanky and Dobrovody—suggests major differences in social practices on these sites and the means that they used to integrate subgroups with(out) communal building projects. (Chapman, p. 129)
- The same is true for the absence from Taljanky of Assembly Houses, when these large structures were of such obvious social significance for the mega-sites of Nebelivka, Maidanetske, and Dobrovody. (Chapman, p. 129)

- This is not to say that all mega-structures, whether at Nebelivka or at other mega-sites, will produce identical excavated results. (Chapman, p. 129)
- Yet the first excavation of such a mega-structure has provided an intriguing combination of expanded scale and reduced object deposition. (Chapman, p. 129)
- Further post-excavation studies will doubtless enable us to add more texture and colour to this provocative initial sketch, which contributes another layer of interpretation to the debate on Trypillia ‘urbanism’. (Chapman, p. 129)
---------------------------------------------

Establishment of Nebelivka Quarters:

- Assembly houses were located at a variety of spacings around the outer and inner house circuits. (Chapman, p. 128)
- They occurred in varying combinations: six isolates, five pairs, two trios, and one area with no assembly houses at all. (Chapman, p. 128)
- We consider the location of assembly houses to be of critical importance for the spatial division of the outer and inner house circuits and inner radial streets into the second level of spatial order—the ‘Quarters’. (Chapman, p. 128)
- A critical question concerns the establishment of boundaries between the Nebelivka Quarters. (Chapman, p. 128)
Currently, eight criteria have been used to partition the mega-site into Quarters: (Chapman, p. 128)
(1) ‘Natural’ features, such as palaeo-channels (BUT there are only two palaeo-channels); 
(2) the border half-way between Assembly Houses (BUT this ignores local topographyphies); 
(3) the boundary between (pairs of) Assembly Houses (BUT sometimes there are three Assembly Houses or only one); 
(4) any large gaps between Neighbourhoods (BUT there is often a continuous spread of houses (e.g. E–F, F–G); 
(5) kinks in circuits (BUT these are absent in many parts of the circuit(s));
(6) major variations in the width of the middle (inter-circuit) space; 
(7) gaps in the ditch (BUT some one-third of the outer circuit has no surviving ditch); and 
(8) ‘Obvious’ entrances and passageways (BUT these gaps are not always obvious!).
----------------------------------------------
Assembly House technicalities:

- This mega-structure is currently the largest structure known from the Trypillia-Cucuteni group; the prima facie interpretation would be that such large buildings were some kind of ‘public’ building, performing integrative functions for several parts of the Nebelivka mega-site. (Chapman, p. 120)
- In summary, there were three final stages in the biography of the mega-structure: (Chapman, p. 125)
(1) the temporary or permanent cessation of social practices inside the building; 
(2) a period of as yet unknown duration allowing the build-up of thin levels of Chernozem derived soil layers within the mega-structure; perhaps the mega-structure was not used in this period; and 
(3) two stages of the collapse of the building to produce the ploshchadka.
---------------------------------------------------------


",4100-3300 BC,Eastern Europe,"10,001 - 100,000","- John Chapman, Bisserka Gaydarska and Duncan Hale, Nebelivka: Assembly Houses, Ditches, and Social Structure
- David Graeber and David Wengrow, The Dawn of Everything",,,edited,"To follow up, one could look at Maidanetske. Or even Dobrovody and/or Taljanky. See notes for more.",,
Negara Ubud,"Banjar (Hamlet), Subak (Irrigation society), Pemaksan, Dadia, Perbekel","Constitution,Criticism/Mocking/Joking,Election,Assembly (local),Consensus,Council (local),Elite Assembly","Unwritten rules, Obedience to authority, Ritual",Clearly defined boundaries,"Village republics
Composed of banjar (hamlets, with a political function), subak (irrigation society). Each village republic had a representation in the pemaksan. 

Institutional mechanisms in the Banjar (hamlet)
- The krama banjar was composed of the citizenry of the hamlet. A man became a member of this after getting married or having his first child. This ensured that each family had a representative in it.
- The krama banjar met once every 35 days, but special meetings could be called. It made all the important policy decisions with consensus. 
- The krama banjar elected the kilan banjar, a set of leaders (the number of which varied from hamlet to hamlet). They were less like rulers and more like the agents of the krama banjar, since they were responsible for the execution of the decisions made by the krama banjar. There were no codified rules dictating their actions, but the kilan banjar followed its own mode of procedure based on past traditions.  
- The krama banjar was ""the sovereign body in all hamlet affairs, ·punishing any incorrigible resistance to its authority, no matter how apparently trivial, by ostracism"" Thus, the banjar enforced its decisions by criticising and shunning those who did not abide by its dictates.  

Institutional mechanisms in the subak (irrigation society)
- the boundaries between rice fields and the extent/usage rights of each irrigation canal were very clearly defined in the constitution (awig-awig subak), which pre-empted water disputes. 
- Structure and powers identical to the hamlet : it had a krama subak, kilan subak and a constitution (awig-awig subak). However, while the domain of the hamlet was political, that of the subak was economic, specifically, the irrigation of rice fields. 
- the members of krama subak (irrigation assembly) did not include representation from all the village, but only large landowners and those who irrigated their terraces from a shared water source, making it an elite assembly. 
- However, its authority and cultural importance was at par with the hamlet's : ""as in the hamlet, in the sphere of life where public rights and public interests were conceived to be dominant its word was law, defiance of its word crime.""

Relation of Pemaksan to the village republic
""Like the hamlet and the irrigation society, the pemaksan is corporate; like them, it is specifically directed toward certain limited, well defined ends; and, like them, it is essentially autonomous. Its political importance derives from its role as a spiritual group, as theirs derives from their role as a governmental or pro­ductive group."" (pg. 53)",19th century,"Bali, Southeast Asia",Unknown,"Geertz, Clifford, (1980) Negara: The Theatre-state in Nineteenth-century Bali","The exact number of hamlets, which were the essential unit of the village republic ranges widely (from hundreds to thousands according to Geertz). [this is why the size is unknown]

The organisation of the centralised powers in Negara Ubud is not backed by evidence of their actually being put into practise. The overarching system of the raja (king) with a kerajaan (kingdom) is an idealised and necessarily abstract model. Thus, Geertz refers to it ""as a conceptual entity not an historical one."" This is further bolstered by MacRae's argument that the Negara Ubud extended into the 21st century, since even after colonial powers took over, the functioning of the village republics and dadia remained unaltered.  

HETEROGENEITY
- There were separate representation mechanisms for the wealthier farmers in the irrigation society (subak) and for all the families in the village in the banjar. This shows that there was formal inclusion through different institutions. However, the word of the councils was adhered to by all the members of the community, indicating that there was no political cleavage. ","Social groups,Inclusion through different institutions,Heterogenous without political cleavages,Formal inclusion",edited,,,
Negeri,"Raja (hereditary ruler), Commission of merchant-aristocrats, Orangkaya, Queen","Heredity,King/Absolute Monarch (unbound)","Obedience to authority, Loyalty/Patriotism, Shared identity/Kinship",,Institution of focus: Orangkaya,15th-16th centuries,Southeast Asia,"100,001 - 1 million members","Anthony Reid, Negeri. The culture of Malay-speaking city-states of the Fifteenth and Sixteenth Centuries in Hansen",,,edited,,,
Nlaka'pamux,"Informal Councils, War-chief, ""Hunting """"chief"""""", """"""Chief"""" of the ceremonies and dances"", Orators","Leader (first among equals),Meritocracy,Voting,Election,Co-optation,Reputational risk,Temporary position of power/Term Limits,Council (central),Public meetings,Gerontocracy,Consultation,Deliberation","Equality in opportunity, Reputation/Honour, Shared identity/Kinship, Supernatural, Ritual",,"Nlaka'pamux are referred to as 'Thompson Indians of British Columbia' in many western sources.

- ""The Thomspon Indians had neither hereditary chiefs nor a recognised nobility."" (Teit, p. 289)
- ""The rank of each person was determined by his wealth and his personal qualities."" (Teit, p. 289)
- ""Their ""chiefs"" were therefore men of the tribe noted for wealth, wisdom, oratorical powers, or prowess in war"". (Teit, p. 289)
- All of the decisions were conducted collectively by all the men of the tribe at the Informal Council, where each man had a voice.

In Jorgensen (1980) Upper Thompson are coded alongside such tribes as Haida, Tlingit and Klamath as '14' for Politics. These other tribes, however, have not been researched by Liza, but are likely to have similar institutions to Thompson. See Google Sheet on North American Tribes.",18th-19th century (at least),North America,"1,001 - 10,000","'- Thompson Indians of British Columbia by James Teit written in 1895 and 1897
https://babel.hathitrust.org/cgi/pt?id=aeu.ark:/13960/t0tq6f09g&view=1up&seq=153&skin=2021
- Jorgensen, Joseph, Western Indians: Comparative Environments, Languages, and Cultures of 172 Western American Indian Tribes (1980)","One could follow up on Haida, Tlingit and Klamath Tribes for potential similar cases. See notes and Google Sheet on Tribes for more.

HETEROGENEITY
- Informal inclusion and Systemic power imbalance for Gender groups 
Women were said to advise and support men, but “had no say in any matters of importance.” Women could also not be chiefs. 
Institutions only represented men and thus, while there is informal inclusion of women, men are evidently more powerful. 

- Informal inclusion and informal power balance for the group of more intelligent/wiser members. 
Experienced and wise men were consulted by the chiefs in an informal council. This was significant because it was this informal council that chose the war-chief. 
Furthermore, another way of informal (at least from a political point of view) inclusion of intelligent citizens was through the custom of having orators. They are described as “wise and wealthy,” and make speeches that have the power to influence public opinion. 
Therefore, informal inclusion leads to an informal power balance in favour of the wise and learned group of people within the community. ","Gender groups,Informal inclusion,Systemic power imbalance,Social groups,Informal power imbalance ",edited,,,
"Northern Maidu, Kawaiisu, Tubatulabal, (Yuki)",Rich Person-Man,"Leader (first among equals),Reputational risk,Positive reinforcement,(TO APPROVE) Popularity","Shared identity/Kinship, Ritual, Supernatural, Equality in opportunity, Reputation/Honour, Generosity",,"Yuki:
Yuki in contrast to other tribes did not only have one rich person-man. They had three key officials, which consisted of 
the informal head of a local settlement known as the 'person-man' (v’ok-huyako’l), the head chief of a political group that resembled the description of a person-man in tribes above, but was knows as the chief (ti’o’l), and a war leader (tau""-huya""kiki)  (Kroeber, p. 177).

It is not quite clear how far the rich person-man and the chief have merged in native consciousness. 

Nevertheless, the chief is described as being wealthy, friendly to everyone, ready to offer advice, heeded and liked by all, and hospitable (Kroeber, p. 177). He invited and entertained visitors, and might see that a widower's children were taken care of (Kroeber, p. 178). He would notify the owner of a dance house and possessor of the necessary paraphernalia when to make, or begin, a dance (Kroeber, p. 178). He did not lead in battle or fight, but he might tell the war captain when the time for war had come (Kroeber, p. 178). He might not hold his station all his life, since it was necessary for a chief to retain general liking (Kroeber, p. 178). Perhaps a chief that permanently lost public approval would be succeeded in influence by a more popular man of prominence without any formal action having been taken; or he may have been deposed (Kroeber, p. 178). But we know of no such incidents, and they can not have been common (Kroeber, p. 178).

'Person-man' had a number of able-bodied relatives and a store of shell money (Kroeber, p. 178). He had put up a dance house with their aid, which he was regarded as owning or controlling, and had made and kept a number of dance costumes (Kroeber, p. 178).

The war leader seems to have been merely a person of bravery above the average, who had displayed his courage and skill in combat and won the confidence of his people (Kroeber, p. 178). He did not lead the van, in an open fight, but stood aside or behind, advising and encouraging his men (Kroeber, p. 178). In surprise attacks, on the other hand, it is probable that initiative in action rested directly with him (Kroeber, p. 178).

In Jorgensen (1980), tribes such as Yuki, Pomo, Patwin, Maidu, Wappo, Nomlaki, Kato and Mattole are grouped under the same code of '4' for 'Politics'. Their resemblance is that they have the position of the rich-person man in some shape or form. However, in this database Pomo, for example, are coded separately because they also have 'Council'. 
Also, in Jorgensen (1980), Tubatulabal and Kawaiisu are coded under '18' for Politics alongside other tribes such as Paiute, Okanagon, Tenino, Shoshone, Chimariko, Nongatl, Sinkyone. However, for the purpose of this database these two tribes were coded alongside Northern Maidu and Yuki because they also have the position of the rich-person man. The potential reason why Jorgenson (1980) might have coded them separately could be the fact that '4' tend to be a bit more about popularity, and '18' about money.  
Other tribes mentioned in the '4' and '18' have not been researched by Liza, but there is a good chance they also have the position of the 'Rich-person man' considering that the ones mentioned here do. See Google Sheet on North American Tribes.",18th-19th century (at least),North America,"1,001 - 10,000","'- Kroeber, Handbook of the Indians of California (1925)
- Jorgensen, Joseph, Western Indians: Comparative Environments, Languages, and Cultures of 172 Western American Indian Tribes (1980)
- David Graeber and David Wengrow, The Dawn of Everything","Look at the 'Notes' to see where the 'Enforcement' mechanisms came from.

One could follow up on Patwin, Wappo, Nomlaki, Kato and Mattole, Paiute, Okanagon, Tenino, Shoshone, Chimariko, Nongatl, Sinkyone for potential similar cases. See notes and Google Sheet on Tribes for more.",,edited,,,
Old-Babylonian City of Ancient Sippar,"City Administration, Karum (Port Authority), College of Judges, Overseer of the Merchants, Sibutu (Elders), Rabianu (mayor), Sandabakku, Sukkallu, Rakbu, Babtu, Hazannu, Alum (City), Puhrum (Assembly), Gal Ukkinna (Chairman of the Assembly)","King/Absolute Monarch (unbound),Military force,Bureaucracy,Jury/Judge,Appeal,Heredity,Remunerated position,Assembly (local),Board/Committee,Fines,Punishment,Seizing of property,Magistrate/officials,Divine right,Tribunal/Court,Monitoring,Oath,Representation","Obedience to authority, Cooperation, Unwritten rules, Shared identity/Kinship",,"Harris, R., ""Ancient Sippar. A Demographic Study of an Old-Babylonian City (1894-1595 BC)"": ""Cooperation between the central administration and the provincial officials at Sippar enabled the rulers to maintain their hold on Sippar until the very end of the First Dynasty"", 38
Harris, R., ""Ancient Sippar. A Demographic Study of an Old-Babylonian City (1894-1595 BC)"": ""The king might be appealed to if there is any dissatisfaction with the verdict rendered""",1894-1595 BC,Middle East,"10,001 - 100,000","Main: Harris, R., ""Ancient Sippar. A Demographic Study of an Old-Babylonian City (1894-1595 BC)"" (Leiden, 1975)",,,edited,,,
Olmec people (DNP),,"Autocratic Leader/Chief (bound),King/Absolute Monarch (unbound),Prisons,Meritocracy,Reputational risk,Power fluidity","Ritual, Reputation/Honour, Solidarity, Equality in opportunity",,"'-	MECHANISMS
o	New Mech:
	Sport
	Gambling
o	Chief/King
o	Imprisonment/Slavery
-	INSTITUTIONS
-	CULTURE
o	Ritual
o	Reputation
-	Ritual in the form of sport, gambling
-	Transition from egalitarian to complex societies (from 1600BCE)
-	Hereditary inequality
-	Centralisation of leadership within villages after 1600BCE
o	Heads of households likely became chiefs
o	Importance of the ballcourt in the emergence of hereditary leadership
	‘In later Mesoamerica, the ballgame had clear ritual and cosmological significance and was a key element in governance.’ (334)
	‘The ballgame provided a means of unifying ""the social and ideological fabric of a complex society.""’ (334; Scaraborough 1991, 130)
	‘Both players staked the rulership of their respective communities on the outcome of the match’ (336)
-	Those who wagered something before the match and then could not deliver when they lost would be sent to jail
-	Self-government mechanisms?
o	Not many besides the fact that much could be gained and lost in a game with (as understood from the article) quite low barriers of entry.\",Centralisation after 1600BCE,Mazatan region,Unknown,"Hill, Warren and John Clark, Sports, Gambling, and Government: America's First Social Compact? (2001)",,,DNP,,,
