Name,Communities,CGI,Description,Institutional links,Metanotes
U Kni,Khasi,,"‘Eldest brother and protector of his sisters.’

	‘The U Kni is the public representative of the clan at the council meetings, or “durbars,” as well as performing other representative functions.’ (51)
	‘the U Kni’s role is that of a delegate rather than a ruler. The clan would never permit him to exceed the boundaries of this purely executive role by taking steps of his own.’ (52)
",Public representative of the clan at the council,
Durbar Iing,Khasi,"Council (local),Representation,Consensus","The family council. 

‘The clan house is the basic political unit, where decisions are made by consensus in the “Durbar Iing,” or family council, which then sends out senior male clan members to represent them in the “Durbar Kur,” or clan council. (51) The clan councils in turn send male representatives out to the “Durbar Shnong,” or local council. 

The British colonial government later superimposed a district council, which is a formal justice institution; this took away from the local councils the power to settle cases by consensus.’ (51-52)",Sends representatives to the clan council,
Syiem,Khasi,,"Chief or king

‘The role of the Khasi head-persons is a good example: the oldest clans may install the “Syiems” (chiefs, or kings) in the various districts that comprise Khasi Land. Using the case of the well-researched district of Khyrim, we can outline the pattern of this “Syiemship.” The Syiem of Khyrim is the son of the “Syiem Sad,” the high priestess of Khyrim. Not he, but rather she, is the actual head of the people; she allows her son or nephew to act as her delegate.19 She owns the large royal house, in which a sacred column functions as an axis that designates the center of the (Khasi) world. Symbolically speaking, she lives right at the center of the world. Every official sacrifice ceremony begins through her, at the sacred column, and ends there as well.20 She is the keeper of the symbols: without the crown and all the sacred tools and sacrificial animals no sacrifice can be celebrated. She always performs the first sacrificial act in the house; afterwards, she turns the tools and the animals over to the Syiem, her son, and lets him continue the ceremony outside. This allows her to watch him from her house’ (53)
","Oldest son of the high priestess, he acts as her delegate",
Durbar Kur,Khasi,"Council (local),Representation","Clan council

They ‘send male representatives out to the “Durbar Shnong,” or local council.’ (52)
",Sends representatives to the local council,
Durbar Shnong,Khasi,Council (central) ,Local council,Highest level of council,
Magistracies,Latium,,"Boards of magistrates 

Attestation ranges across cities, but there is evidence of Praetors (boards of two), Aediles and Quaestors; Censors. probably organized in a cursus honorum. 
","Connected with Priesthoods, and often occupied by the same people and families.",
Priesthoods,Latium,,Magistrates performing religious functions,"Connected with political magistracies, and often occupied by the same people and families.",
Senate,Latium,Council (central) ,"Council of former magistrates

""the standard features [of political institutions in the city states] were annual magistracies, elected by a popular assemby, and a senate or council of former office holders."" (p. 221)",made up of former magistares,
Popular Assembly,Latium,"Assembly (central),Election","Assembly of the people

""the standard features [of political institutions in the city states] were annual magistracies, elected by a popular assemby, and a senate or council of former office holders."" (p. 221)",Elects magistrates,
Tribal Council,Makah,"Council (central) ,Frequent and/or regular meetings,Public meetings,Gerontocracy","Tribal council

-	“In the government of the tribe at present, all matters of importance are submitted to a council, which is held whenever any one gives a feast, or during the time of the ceremonials of the tamanawas.” (Swan, p. 53)
-	“The old men on these occasions generally do all the talking, although women are permitted to speak on matters where they are concerned.” (Swan, p. 53)
",Not specified,
En (malkum),Ebla ,,"King, Chief of state and head of the royal household",First hierarchic order of the palatial sector. Advised by many royal attendants and elite officials.,
Ø,Ebla ,,"Minister, Head of the ""lugal council.""

Functions: army general, head of the palatial administration, tax collector, overseer of merchants.

Emerges late, roughly in the last 20 years in the period under consideration. Eventually, it becomes an hereditary position. ""The figure of the minister (O) apparently emerged as a sort of 'primus inter pares' within the council of the lugals, and gained preeminence during the reigns of the last two kings of Ebla, when the position of minister became a de fact hereditary role."" Benati, 40.","Head of the lugals, with chief executive role.",
Lugal,Ebla ,,"District Governor.

Heads of noble families, overseers of palatine craft industries, tax collectors, managers of palatine flocks, military commanders, diplomatic envoys. 

Between 10 and 20 in number (based on Archi 2023)",Formed the Council of Lugals.,
Abba,Ebla ,,"Elder, Heads of local communities. 

Functions: diplomatic envoys, tax collectors.

Unclear how exactly they governed the local units.",Politically representative of local communities and embedded into the palatial organization (live in the palace). Participate in the Lugal council.,"
"
Lugal Council,Ebla ,Council (central) ,"Informal council made up of Lugals and Abbas.  

No info about institutional mechanisms within. Probably consultative, dealing with disputes arising from local community demands and from the King.",Made up of Lugals and Abbas.,
Notables/ Officials,Ebla ,,"Officials. 

Made of: ugula-rank administrators, na-se (free individuals), maskim (travelling agents), ir (king's servants), di-kud (judges)",Appointments confirmed by the king.,
Judges,Ebla ,,"Groups of two judges, traveling around the country and resolving disputes.

Belong to noble families, unclear if the same families that provide the Lugals. no info on selection mechanisms.","Probably, originally selected by the central administration and hereditary.",
King,Mari ,,"King. 

Top political figure in the kingdom.",Top political figure,
Vassal rulers,Mari ,,Rulers of individual territories (city-states) inhabited by local syrians.,Feudal relation with king,
Tribal chiefs,Mari ,,"Rulers of individual groups of semi-nomadic Amorites tribes. Chosen by the community, but his rule depends on the consent of the king. 

Selection probably had a hereditary element mixed with merit (probably having to do with military power)",Rule independently of the kins within a mutual consent structure.,
Šapitum,Mari ,,"Governors of district, with individual laputtum (deputies) for centralized administration. 

Fleming, D.E., p.25 (""The districts (halsum) of the inherited Banks-of-the-Euphrates (Ah Purattim) dominions were overseen by governors (sapitum), each with his own local palace and deputy (laputtum) to allow centralized administration."")",Had a deputy (laputtum) under him,
Laputtum,Mari ,,"Deputy to the governor 

Fleming, D.E., p.25 (""The districts (halsum) of the inherited Banks-of-the-Euphrates (Ah Purattim) dominions were overseen by governorns (sapitum), each with his own local palace and deputy (laputtum) to allow centralized administration."")",Deputy to the governor (sapitum),
Halsums,Mari ,,"Districts with local palace, governor and administrative centre

Fleming, D.E., p.11 (""the farming country along the rivers was governed within a system of ""districts"" called halsums, each with its own local palace administrative center and governor."")",Administrative unit of the kingdom,
Tahtamum,Mari ,Council (local),"Town council among the local syrians, made up of local notables.

Autonomous governing body (not necessarily called by the king). ",Governs the syrian towns.,
Rihsum,Mari ,"Assembly (local),Assembly (elite)","Assembly of elders and notables.

Probably, can either be a gathering of elders and chiefs for political decision-making, or an occasional meeting of mobile pastoralists for dispute resolution.

Fleming, D.E., p. 203 (""Rihsum is associated with the assembly of pastoralists. It is never defined by towns, and it designates the talks or negotiations that occur within a meeting of mobile pastoralists, not the assembly as such"") | Fleming, D.E., p. 208-209 (""Rihsum (...) relates only to gatherings of tent-dwellings 'Hana' pastoralists, sometimes at the initiative of outside authorities."") | Fleming, D.E., p. 209 (""It seems clear from the texts that the rihsum is not the assembly but the talks that ensue (...) The meeting comes first and the rihsum follows, as contingent on and separate from the act of gathering. The focus of the rihsum appears to be conversation (...) the term applies specifically to talks related to interactions between separate groups."") | Fleming, D.E., 210 (""It is not always clear that the rihsum is so inclusive, however (...) The rishum is often defined by the participation of tribal peoples, sometimes likely to be mobile pastoralists (...) it shows no particular attachment to one of the paired tribal confederacies"") Fleming, D.E., p. 211 (""More inclusive participation does, however, seem to characterize the tribal rihsum, especially as associated with the pastoralist elements of the Yaminite and Sim'alite tribal groups"") | Fleming, D.E., p. 234 (""One reference to the rihsum talks displays what may be the assembly of an entire tribal population"") |Fleming, D.E., p. 238 (""The tribal meetings of the rihsum"")",Made up of elders and notables,
(Tribal) Elders,Mari ,,"Members of a council with fixed functions within tribal groups.

Fleming, D. E., p. 190 (""Discussions of such Mesopotamian 'elders' often assume that they functioned as part of a 'council', a word that calls forth an image of institutions with some standing status, who perform some regualar tasks and meet on some predictable basis. In fact, elder terminology usually represented a broad classification status, not the designation of a permanent individual title, whose assembled bearers would meet as a council of fixed function"") | FUNCTIONS OF THE ELDERS DESCRIBED FROM P. 191 TO 192 AND INCLUDE: designation of senior leadership distinct from king; representative of king, for royal authority or administration; representative of the town; negotiation with outsiders; witnessing of legal proceedings; rituals | Fleming, D.E., 193 (""One letter seems to use word elders for a gathering that includes several kings"") | Fleming, D.E., p. 195 (""When scholars speak of a council of elders, this is not usually interpreted asa a cabinet of senior advisers or a selection of high administrators and royal henchmen. IN some cases, however, the term is used with just this sort of application"") | Fleming, D.E., p. 196 (""They have a stature that can somehow stand on its own as well, so that they retain interim authority in the selection of a replacement [to the king]"")",Participate in the Rihsum,
Puhrum,Mari ,"Assembly (central),Ratification/Acclamation only","Assembly of the people. Informal meetings called occasionally to ratify decisions before the whole population.

Common around Mesopotamia",Assembly of the people,
Yaminites,Mari ,,"'Right hand' tribe confederacy

Fleming, D.E.,p. 24 (""The tribal people within the Mari kingdom belonged mainly to two confederations that together represented a coherent duality: the Sim'alites of the 'left hand' and the Yaminites of the 'right hand'"") | Fleming, D.E., p.24 (""The entire Yaminite people are defined as a confederation of five tribes, each with its own ruler"") | Fleming, D.E., p.26 (""I call the overarching Yaminite and Sim'alite groups 'tribal confederacies', suitable to both their evident size and[...]"")","Opposed to the Sim'alites

Confederacy of five tribes, each with its own ruler and deputies",
Sim'alites,Mari ,,"'Left hand' tribe confederacy

Fleming, D.E.,p. 24 (""The tribal people within the Mari kingdom belonged mainly to two confederations that together represented a coherent duality: the Sim'alites of the 'left hand' and the Yaminites of the 'right hand'"") | Fleming, D.E., p.24 (""The entire Yaminite people are defined as a confederation of five tribes, each with its own ruler"") | Fleming, D.E., p.26 (""I call the overarching Yaminite and Sim'alite groups 'tribal confederacies', suitable to both their evident size and[...]"")","Opposed to the Yaminites

Confederacy of tribes, which number is not specified",
Sugagum,Mari ,,"Sim'alite town leader

Fleming, D.E., p.11 (""the midlevel leaders of both the settled towns and the mobile pastoralists had the same title (sugāgum)"") Fleming, D.E., p.25 (""[Hana] acknowledged a leader ('sugagum') who was affiliated only by tribe, not town [...]"") | Fleming, D.E., p.25 (""the sugagums are best known at Mari as town leaders."") | Fleming, D.E., p.25 (""The sugagum plays an important role in distinguishing Yaminite and Sim'alite political structures, at the same time as he is the one individual leader whose very office can be defined by the town he serves"")","Specifics of the office defined by the town in which the sugagum serves.

Lower-level sugagums served under the merhums",
Merhum,Mari ,,"Sim'alite chief of pasture

Fleming, D.E.., p.11 (""Zimri-Lim gave direct authority to his Sim'alite tribal chiefs of pasture, called merhûms, who led the mobile pastoralist component of his people, most often called simply ""Hana"" (""tent-dwellers""). Under Zimri-Lim, the whole of the ""land"" (matum) that he ruled was identified by the tent-dwellers of the Sim'alite tribal population, but the Kingdom as a whole was divided into two parts"") | Fleming, D.E., p.25 (""[...]and two Sim'alite chiefs of pasture (merhums) served as respected leaders over the entire tent-dwelling (Hana ndr) tribal population. They reported only to Zimri-Lim and his immediate cabinet of top advisers, and stood outside the district system. [...] the merhums had to join in tribal meetings and await the collective decision (i.e., see the rihsum"")","'Reported directly to the king and his inner circle' (Fleming (2004), p. 76)

'Assisted by his own sugagums.' (p. 77)

'held influence on a par with the highest officials of Zimri-Lim’s inner circle.' (p. 79)",
Nagari,Minangkabau,,"The equivalent of a village, made up of at least 4 suku (clans). Governed by a panghulu according to the rules of the nagari constitution. ",Governed by a panghulu,
Suku,Minangkabau,"Assembly (local),Consensus,Deliberation","Assembly of the clan 

The population of a nagari was organized in matrilineages, each of which was affiliated with a suku or clan. The leader of the suku was informally chosen by deliberation and consensus within the rumah gadangs making up the suku.

The suku can be considered a political assembly, which met fairly infrequently, usually for the purpose of electing a leader. ",The matriarch of each suku was a member of the panghulu. ,
Rumah gadang,Minangkabau,,"The family long house, which was under the control of a matriarch, and passed on to the eldest daughter after her death. There were living compartments for each women, where their husbands came as guests for the night. Men resided in the local mosque after coming of age. ",multiple rumah gadangs related by kin made up a suku,
Panghulu,Minangkabau,"Council (local),Tribunal/Court ,Consensus,Majority voting","Matriarchal council. Group of matrilineal leaders governing the nagari, who made political decisions and resolved disputes. Each member of the panghulu had an equal vote when it came to making a decision, and since it was generally made of odd numbers, the will of the majority was carried out. 

""the panghulu retains the highest authority also in property affairs. No transfer of any buah gadang property, share-cropping agreements excepted, may occur without its taking cognizance."" (pg. 66)",The matriarch of each suku had a place In the panghulu. She was replaced after her death by the next matriarch of the suku. ,
Buah gadang,Minangkabau,,"Administrative and social unit

Defined as "" a matrilineal descent group (MDG) comprising only persons who trace common matrilineal descent from one apical ancestress."" 
They were characterized as being 'saparuik' - 'of one womb.' 
Essentially, each buah gadang could trace a common ancestor and eventually split into kaums and then into suku. 
Thus, a buah gadang was also defined as a collection of the informal 'kaums' or groups. On average 3-4 kaums made a buah gadang (pg. 65)
Being a member of a buah gadang allowed the descendants of former slaves to acquire citizenship of the nagari. 

Land and agricultural produce were usually owned collectively by a kaum. In the case of disputed land between kaums, the buah gadang, which was made of kaums attempted to resolve it amicably. However, if this did not happen, the matter was taken to the matriarchal council or panghulu, who had the final word. 

""Their mutual relationships, hierarchical order, and the formation of more inclusive groups of buah gadang are regulated in the nagari's constitution."" The constitution essentially gave the power of forming new buah gadangs or adding new citizens to existent buah gadangs to the panghulu since they were the nagari's political leaders. ",Collection of 3-4 kaums,
Kaum,Minangkabau,,"Kaum is a social group within the buah gadang, headed by an informally chosen kaum leader, memak kepala waris. There were strong trust relations within the kaum and they frequently held land jointly. ","Suku and kaum may seem similar, but suku was based on genetic relationships, and it was an exogamous entitity, i.e, marriages within the suku were prohibited. Furthermore, the kaum was a socio-economic grouping whereas the suku was represented politically at the level of a nagari. ",
Adat,Minangkabau,,"The overarching royalty who exercised control over the nagaris, but were devoid of any real power. 
""Little is known about the position of the kings. ""(pg. 58) 
Historically believed to have devised the nagari constitution which was adapted to each village. 
""Succession to their office was patrilineal, a contrast with the matrilineal organization of the suku.""","The adat was believed to have consulted the panghulu while devising the original nagari constitution, which means that female interests were represented even at this level. ",
Council of four,Mixtec City-States,"Council (central) ,Blood relations","Council of four advisers, among which there was a chief adviser, assisting the ruler. They were probably close relatives, depicted as priests in the codices. They were in charge of the sacred bundles of the city-state and the chief adviser was also in charge of military affairs. 
“(Spores, (1984) 77) has characterised the political system of the Mixtec city-state as one in which the ruler communicated directly with a small group of advisers and noble administrators. It lacked the large and cumbersome bureaucracy characteristic of macro-states where edicts from the ruler filter down through many bureaucratic levels”
“Codice de Yanhuitlan shows a courtyard of his palace with at least four advisers discussing affairs of the city-state with a group of more than 50 noble administrators (Sepulveda y Herrera (1994), 99), 572”","Advising the king or queen
",
king or queen,Mixtec City-States,,Hereditary King or Queen,Assisted by the council of four advisers,
Nobles,Mixtec City-States,,"Govern the barrios, or neighborhoods. Are appointed by the ruler and are probably their close relatives",Appointed by the ruler,
Informal Council,Mohave,"Council (local),Deliberation","Informal Council was formed by male heads of each settlement. 
They deliberated about important tribal affairs. (Fathauer, p. 109)

(There is not much information on the informal council as a majority of the literature on Mohave is regards their warfare culture and power of dreams) ","Featured male heads and Kwaxot.
Used to solve internal tribal affairs.",
Kwaxot - Main Tribal Leader,Mohave,,"""Kwaxot"" was the main tribal leader, performing religious functions that contributed to tribal integration. (Fathauer, p. 109)

-	The custodian of the scalps (kwaxot) was the major religious official. (Fathauer, p. 98)
-      He did not go on the warpath but presided at the victory celebrations and cared for the scalps and female prisoners brought back by the warriors. (Fathauer, p. 98)
-	It is clear that the status of kwaxot formed the nexus of two great themes of Mohave life: warfare and tribal continuity through fertility. (Fathauer, p. 108)
-	Thus the statuses of kwaxot and axwe satumac (scalper) formed the structural connections for three extremely important themes of Mohave life: warfare, sickness, and tribal continuity through fertility. (Fathauer, p. 109)
-	The kwaxot and scalper were in charge of tribal war expeditions as revealed by the fact that scalps could not be taken in the absence of the scalper and that the kwaxot cared for these trophies in the interest of the entire tribe. (Fathauer, p. 110)
-	The ultimate determinant of the statuses a man would occupy depended upon his dreams. (Fathauer, p. 110)
- The tribal chief was not a kwanami and did not go to war. (Stewart, p. 260)",Partook in both Informal Council and Conference for Warfare.,
Conference for Warfare,Mohave,"Council (central) ,Consultation","""Conference for Warfare"" was where officials such as Kwaxot, Scalper, Head Kwanamis, Braves (Kwanamis) and spies solicited the opinions of some of the wise old men of the tribe before engaging in warfare. (Fathauer p. 98)","Featured Kwaxot, Scalper, Braves and Head Kwanamis.
Used to consult with wise old men regards warfare. ",
Scalper (ahwe somadj/axwe satumac) - Shaman,Mohave,,"The scalper (ahwe somadj/axwe satumac) was a Shaman that accompanied large war parties and doctored the warriors, and who had dreamed of special powers that made him the only one capable of scalping the enemy. 

-      The scalper, who was also a shaman, exemplified the connection between warfare and the Mohave ""racist"" philosophy in which non-contamination with foreign blood was always a primary consideration. (Fathauer, p. 108)
-	Warfare was a means of demonstrating tribal prowess and superiority to other tribes. (Fathauer, p. 109)
-	Thus the statuses of kwaxot and axwe satumac (scalper) formed the structural connections for three extremely important themes of Mohave life: warfare, sickness, and tribal continuity through fertility. (Fathauer, p. 109)
-	The scalper was also a tribal official, since only one man occupied this status at any one time. (Fathauer, p. 109)
-	The kwaxot and scalper were in charge of tribal war expeditions as revealed by the fact that scalps could not be taken in the absence of the scalper and that the kwaxot cared for these trophies in the interest of the entire tribe. (Fathauer, p. 109)
-	The ultimate determinant of the statuses a man would occupy depended upon his dreams. (Fathauer, p. 110)
- Mohave warriors feared the magical potency of an enemy scalp; if a man should touch it he would go insane and ""holler in the night."" (Stewart, p. 269)
- Consequently, scalping was performed only by a special scalper, the ahwe somadj (""dream[er] of foes""), who was a shaman rather than a warrior, and who, provided he underwent purification, was unharmed by contact with the scalp. (Stewart, p. 269)
- The ahwe somadj, who dreamed his power to scalp, also doctored warriors who had fallen ill due to contact with the enemy. (Stewart, p. 269)
-  When the scalper spied an enemy with a desirable head of
 hair, he would knock him down, break his neck, and cut off the head with a stone knife. (Stewart, p. 269)",Accompanied and doctored Kwanamis.,
Braves (Kwanamis),Mohave,,"When warfare was imminent, the braves (k""anami), who were scattered throughout the valley, became important tribal officials. (Fathauer, p. 98)
In more peaceful times, braves also had a role to play - the braves had some local autonomy in dealing with raids and small revenge parties. (Fathauer, p. 109)
- Braves dreamed special war powers. (Fathauer, p. 99)
- Kwanamis were responsible for the recurrent hostilities and over whom there was no effective control (Stewart, p. 257)","Were led by Head Kwanamis.
Were doctored by Scalper.",
Chief for dealing with White People,Mohave,,"The status of chief developed as a result of the necessity of dealing with the Whites in an organized manner. (Fathauer, p. 110)

-	As indicated earlier in this paper, the chief was excluded from warlike activities. (Fathauer, p. 109)
-	This may not be an accurate reflection of aboriginal conditions. (Fathauer, p. 109)
-	The status of xanidal apparently did not exist prior to fairly extensive White contact.  (Fathauer, p. 109)
-	According to several informants, the first chief was chosen after the Whites came, when it became necessary to deal with them. (Fathauer, p. 109)
-	The status was fitted into the aboriginal pattern, but not completely, since, although the chief was supposed to dream his power, the office also became hereditary. (Fathauer, p. 109) 
-	The first chief was selected because he was ""lucky"" in his dealings with the Whites. (Fathauer, p. 109)
-	It appears probable that the status of chief represented an elaboration of the rather vaguely defined status of pataxan, local group leader. (Fathauer, p. 109)
-	The principal tribal status of religious leadership, kwaxot, declined in importance rapidly when the culture began to change under the impact of Whites. (Fathauer, p. 109)
-	The new status of chief lacked the connections with religion and war that characterized that of kwaxot, and appears to have been based upon the status of pataxan, or local group leader. (Fathauer, p. 110)
",Dealt with the Whites.,
Yakatha'alya women,Mohave,,"Minor status of ""yakatha'alya"" was occupied by females. (Fathauer p. 109)
The position was not an important one but it did serve to give expression to the female interest in the activity of warfare. (Fathauer, p. 109)
They danced at the scalp ceremonies and shamed the able-bodied men who had not gone to war. (Fathauer, p. 109)
-	In order to occupy this position a dream was necessary, but it was not a very powerful one, according to informants. (Fathauer, p. 109)
",Danced at the scalp ceremonies.,
Head Kwanamis - War Chiefs,Mohave,,"The head of a war party that recruited and instructed Braves. Head Kwanami did not answer to Kwaxot and had limited control over the Braves.

- Two or three men in the tribe ranked as head kwanamis or war chiefs, for whom there was no name other than kwanami.  (Stewart, p. 260)
- Like other kwanamis, they theoretically attained their positions through proper dreaming.  (Stewart, p. 260)
- Each war party was conducted by a head kwanami, whose powers were minimal and not clearly formulated, although he was not responsible to the tribal chief.  (Stewart, p. 260)
- The head kwanami acted as a leader and officer on the war party, and when the party approached an enemy camp he stopped the warriors and gave them instructions relative to the attack. (Stewart, p. 260)
- Several months often elapsed after the return of the scouts before a war party set out. (Stewart, p. 266)
- A few days before the party was scheduled to leave the head kwanami would call a meeting, at which song cycles were sung, and at which warriors were given an opportunity to volunteer for the campaign. (Stewart, p. 266)","Led Kwanamis.
Were not responsible to Kwaxot.",
kurultay,Mongol Nomads,"Assembly (central),Assembly (elite),Representation,Election,Ratification/Acclamation only","A central elite assembly.

- Assembly to elect new leaders and discuss important policy matters (Stasavage)

- Sometimes these assemblies were genuinely plenary and consisted of representatives of all the steppe nation's tribes. (Fletcher, p. 26)
- In such circumstances they may occasionally have been electoral. (p.26)
- But the convening of a khuriltai without its outcome being a foregone conclusion was probably rare. (Fletcher, p. 26)
- Much more commonly they were merely acclamation ceremonies for a given candidate, acting in the steppe nation's name. (Fletcher, p. 26)
",Elected and/or legitimised the new Khan,
Shaman,Mongol Nomads,,"A person with supernatural abilities

- Being in touch with the supernatural world, the shaman's support for a given candidate for the chieftaincy might carry weight if the shaman decided to involve himself in the succession choice. (Fletcher, p. 18)
- Shamans chose auspicious days for battle, healed the physically sick and the emotionally disturbed, enabled childless women to conceive, warded off evil, and the like. (Fletcher, p. 18)
- Their roles probably ranged from that of nokor of the tribal chief to one of rivalling him for authority. (Fletcher, p. 18)
- Sometimes the shaman might himself become the tribal chief, combining both roles in one person. (Fletcher, p. 18)","- Belonged to Shamanic ""guild""
- Counterbalanced and confirmed chief's authority 
- In some cases, combined the role of Shaman and Tribal Chief into one",
"Shamanic ""Guild""",Mongol Nomads,,"A guild that consisted of Shamans from different tribes
- The shaman commonly belonged to a kind of shamanic ""guild,"" which provided links with other tribes that could benefit the chief and the tribal membership-links that bolstered the shaman's influence within the tribe (Fletcher, p. 18)",Consisted of Shamans from different tribes,
Khan,Mongol Nomads,,"A leader with the highest authority in the steppe.

- The steppe khan was surrounded by no pomp, ceremony, or mystery to clothe his kingship in a nimbus of the divine in the way that Iranian, Roman, or Chinese emperors were revealed. (Fletcher, p. 23)
- His purpose was down-to-earth: to obtain and distribute wealth. (Fletcher, p. 23)
- Great emphasis was placed on the quality of generosity. (Fletcher, p. 23)
- Even more basic was the quality of warrior and leader of men. (Fletcher, p. 23)
- As the head of a confederation, the ruler might not have to fight, but as autocrat of a steppe empire, the essential qualities were martial ones. (Fletcher, p. 23)
- An ""imperial"" khan had to lead his subjects to success on the field of battle and in the extortion of wealth from sedentary governments. (Fletcher, p. 23)

- So personal was this bond [between Khan and the tribal chief]-upon which the integrity of the steppe empire was based- that at the khan's death, unless his successor recreated the empire on a similar personal basis, the empire soon dissolved. (Fletcher, p. 23)
- In a steppe empire-as opposed to a confederation-the bond between the khan and the tribal chief was the bond between leader and follower, between general and regimental commander-but between the two men as persons not as offices (Fletcher, p. 23) 
",Khan had to have a personal bond with Tribal chiefs to have their tribes under his authority,
Nokor,Mongol Nomads,,"Personal supporters (of clan's leaders, tribal chiefs, Khans or candidates for these leading roles). 

-   But in a large tribe, rival candidates for the chieftaincy, each closely backed by his own retinue of personal supporters (nokor), might occasionally split the tribe, either temporarily or permanently. (Fletcher, p. 17)
-  In a succession struggle, the rival candidates and their nokor competed for the support of the tribe's leading men and formed factions that could either compromise or fight. (Fletcher, p. 17-18)
-  Not just members of the chiefly lineage but also leaders of the tribe's noble clans not infrequently surrounded themselves with nokor and held a potential for usurping the chieftaincy or breaking away, taking their haran with them, and forming a new tribe. (Fletcher, p. 18)
-  Like the tribal chiefs and nobles, the supratribal ruler and all contestants for his office had personal retinues of nokor who served their master as his eyes and ears and hands-as military commanders, administrators, secret or public agents, and specialists of all kinds who formed the nucleus of what could become, if need be, an extended imperial administration. (Fletcher, p. 20)
- Nokor directed their master's personal guard-cum-household, being, as it were, his slaves and companions. (Fletcher, p. 20)
- They derived their power and authority exclusively from his
 person and might be recruited from any social origin, nomadic or sedentary, noble, commoner, or slave. (Fletcher, p. 20)
- But if they were noblemen, they were not likely to be tribal chiefs (although Chinggis Khan himself, after reaching a certain level of power, deviated from this pattern), inasmuch as the possession of an autonomous basis of power would make for an unreliable nokor. (Fletcher, p. 20)","Personal supporters (of clan's leaders, tribal chiefs, Khans or candidates for these leading roles). ",
Tribal Chief,Mongol Nomads,,"The head of the Tribe.

Role:
- Chief's main responsibilities were to provide leadership, assign pasture, and determine the routes of migration. (Fletcher, p. 19)

Succession:
- Chosen from the chiefly lineage, which was dominant amongst the clans (Fletcher, p. 17)
- Choice of the tribal chief was, in a manner of speaking, electoral, being governed by the principle of tanistry (Fletcher, p. 17)
- Principle of tanistry held that the tribe should be led by the best qualified member of the chiefly house (Fletcher, p. 17)
- At the chief's death, in other words, the succession did not pass automatically, in accordance with any principle of seniority such as primogeniture, but rather was supposed to go to the most competent of the eligible heirs. (Fletcher, p. 17)
- Unless the tribe was very large, most tribal interests were usually best served by a timely resolution of the succession question, and the tribal leaders must ordinarily have managed to keep disruptions to a minimum. (Fletcher, p. 17)
- But in a large tribe, rival candidates for the chieftaincy, each closely backed by his own retinue of personal supporters (nokor), might occasionally split the tribe, either temporarily or permanently. (Fletcher, p. 17)
- In a succession struggle, the rival candidates and their nokor competed for the support of the tribe's leading men and formed factions that could either compromise or fight. (Fletcher, p. 18)
- Nor were the rivals limited to the backing of members of their own tribe. If a tribe were part of a confederation, a given candidate might win the backing of the confederal ruler or other powerful elements within the confederation. (Fletcher, p. 18)
- Tribes or leading tribal families also commonly had special relationships with tribal (or even non-tribal) elements outside the confederation and sometimes even beyond the edges of the steppe. (Fletcher, p. 18)
- These too could be called upon for support or for asylum in the event that a given candidate met defeat. (Fletcher, p. 18)",His authority was counterbalanced and confirmed by Tribal Council; Legitimised and answered to Khan,
Tribal Council,Mongol Nomads,Council (local),"Local elite councils.
- Tribal councils consisted of tribe's other leading men (Fletcher, p. 19)
- Their role was to elect a Chief
- Leading men were usually regarded as nobles (Fletcher, p. 16)",Counterbalanced and confirmed chief's authority ,
Dabu,Mosuo,,"The matriarch of the clan

	‘She organises the agricultural work and distributes the food; she manages the clan’s communal property, which is handed over to her, both material and liquid, and sees to the expenses; she takes care of the guests and is the house priestess at all family ceremonies. She has, however, no special privileges that would contravene the principle of equality on which these societies are based, since she works just as hard as other family members do, and they all discuss the important events together. She can make no unilateral decisions about the community’s wealth. She not only arbitrate in clan conflicts, but also, until recently, the matriarchs of the different clans held important positions in the village councils as well.’ (108)
",Holds important positions in the village councils,
Village Council,Mosuo,Council (local),Village councils. Dabu holds important positions,Dabu holds important positions,
Uilikande,Nambikuara,,Chief,Head of the village (rainy seasons) or head of the band (dry seasons),
Great Sun,Natchez people,,"Had personal and arbitrary mechanisms of power, which were, however, often ignored by those below him. The further away from him his subordinates lived, the less power he held over them",Not specified,
War Council,Natchez people,Council (central) ,Would often ignore the advice of the Great Sun,Would often ignore the advice of the Great Sun,
Governor of districts,Natchez people,,Governors of districts,Not specified,
